"IEA fossil fuel subsidies database","","","","","","","","","","","","","","",""
"© 2024 IEA","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"Unit: Real 2023 million USD","","","","","","","","","","","","","","",""
"","","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Iran","Total","51,160.0","39,369.8","66,243.5","63,078.8","57,761.2","37,459.4","21,759.8","34,914.0","80,449.0","150,942.7","93,284.4","101,205.8","154,323.3","81,816.7"
"Kazakhstan","Oil","2,784.9","2,346.4","1,764.1","1,865.4","2,303.8","953.4","2,596.3","2,455.9","3,649.5","3,151.8","1,867.6","4,862.8","9,911.9","5,323.2"
"Kazakhstan","Electricity","1,982.9","2,153.6","2,065.0","563.1","475.6","405.6","992.8","1,412.3","2,417.6","1,530.2","1,139.1","5,755.1","14,560.2","5,703.9"
"Kazakhstan","Gas","645.8","766.6","660.8","611.1","1,079.7","934.3","844.1","947.9","1,498.5","763.8","522.5","3,116.6","8,031.1","2,775.5"
"Kazakhstan","Coal","1,501.4","2,790.1","2,382.4","1,831.3","1,278.1","1,084.6","1,614.3","1,921.3","2,168.0","1,733.5","1,390.4","2,397.3","3,307.9","1,433.8"
"Kazakhstan","Total","6,915.0","8,056.5","6,872.4","4,870.9","5,137.2","3,377.9","6,047.6","6,737.5","9,733.6","7,179.3","4,919.6","16,131.8","35,811.2","15,236.4"
"Kuwait","Oil","2,490.1","3,237.6","3,223.9","3,135.4","3,203.9","1,674.5","1,362.9","1,582.4","2,038.2","1,535.1","447.3","1,711.7","2,045.3","905.4"
"Kuwait","Electricity","3,439.9","3,017.5","2,555.7","3,509.4","4,148.0","5,321.3","5,137.6","4,162.9","3,906.0","3,213.9","2,621.1","4,995.9","10,205.2","5,224.3"
"Kuwait","Gas","2,246.5","2,009.2","2,217.7","1,962.0","1,266.3","1,398.4","1,056.5","1,219.7","1,671.2","968.6","780.2","2,718.0","6,480.1","2,823.3"
"Kuwait","Coal","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Kuwait","Total","8,176.4","8,264.3","7,997.2","8,606.8","8,618.2","8,394.2","7,557.0","6,965.0","7,615.4","5,717.6","3,848.6","9,425.7","18,730.6","8,953.0"
"Libya","Oil","4,114.7","3,180.2","4,263.9","4,385.9","4,371.7","2,422.0","2,144.4","2,512.4","2,838.9","2,569.6","1,993.4","5,706.6","6,791.3","6,237.6"
"Libya","Electricity","678.9","546.4","594.7","613.1","452.7","385.7","269.2","308.5","564.3","516.4","456.3","875.4","2,961.2","1,640.3"
"Libya","Gas","197.2","225.5","147.1","266.9","221.5","157.9","61.5","67.9","86.7","40.6","7.5","187.4","408.3","171.6"
"Libya","Coal","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Libya","Total","4,990.8","3,952.1","5,005.7","5,265.9","5,046.0","2,965.6","2,475.1","2,888.8","3,489.9","3,126.6","2,457.2","6,769.4","10,160.7","8,049.5"
"Malaysia","Oil","1,167.5","2,481.3","10,831.3","3,352.9","2,618.7","338.0","1,519.2","2,049.7","1,551.8","1,717.5","131.7","2,319.4","10,656.7","5,895.9"
"Malaysia","Electricity","753.5","638.5","544.2","193.0","-","-","-","-","249.4","-","-","-","2,413.5","-"
"Malaysia","Gas","9.1","5.5","1,854.4","1.7","-","-","-","-","-","-","-","-","1,605.2","469.9"
"Malaysia","Coal","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Malaysia","Total","1,930.1","3,125.4","13,229.9","3,547.6","2,618.7","338.0","1,519.2","2,049.7","1,801.3","1,717.5","131.7","2,319.4","14,675.5","6,365.8"
"Mexico","Oil","13,165.0","25,902.1","24,597.5","10,790.0","1,162.1","34.1","1,014.7","87.3","18.9","13.6","-","26.3","3,281.6","24.2"
"Mexico","Electricity","9,653.3","8,068.2","8,216.2","8,005.4","7,170.0","9,381.6","13,860.1","16,075.1","20,515.5","3,775.7","2,187.5","2,112.6","3,322.0","579.5"
"Mexico","Gas","-","812.9","1,171.5","1,290.2","-","-","-","-","-","-","-","-","121.4","19.5"
"Mexico","Coal","295.1","334.8","7.3","-","-","-","-","-","40.0","-","-","-","79.3","-"
"Mexico","Total","23,113.4","35,117.9","33,992.5","20,085.5","8,332.1","9,415.7","14,874.8","16,162.4","20,574.5","3,789.2","2,187.5","2,138.9","6,804.3","623.2"
"Nigeria","Oil","1,992.8","3,940.8","3,683.4","3,489.0","3,090.4","594.9","47.1","766.5","1,551.0","1,375.1","292.0","3,950.7","10,392.3","4,206.5"
"Nigeria","Electricity","-","51.6","91.3","154.2","-","-","-","68.1","287.9","39.1","-","59.2","3,191.8","902.1"
"Nigeria","Gas","38.8","330.3","270.3","288.1","78.7","-","-","-","3.2","-","-","81.8","1,987.4","797.3"
